product,brand,price,price_discount,link_img
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",Apple,25999,23499,https://http2.mlstatic.com/D_NQ_NP_801112-MLA46516512347_062021-O.jpg
"Laptop Huawei MateBook D15 space gray 15.6"", Intel Core i3 10110U  8GB de RAM 256GB SSD, Intel UHD Graphics 620 60 Hz 1920x1080px Windows 10 Home",Huawei,15999,11999,https://http2.mlstatic.com/D_NQ_NP_650921-MLA49910409816_052022-O.jpg
"Laptop Lenovo IdeaPad 15ITL05  abyss blue táctil 15.6"", Intel Core i7 1165G7  12GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px Windows 10 Home",Lenovo,20415,18138,https://http2.mlstatic.com/D_NQ_NP_800024-MLA47583816789_092021-O.jpg
"Ultrabook Huawei MateBook D16 space gray 16.1"", AMD Ryzen 5 4600H  8GB de RAM 512GB SSD, AMD Radeon RX Vega 6 1920x1080px Windows 10 Home",Huawei,20999,14999,https://http2.mlstatic.com/D_NQ_NP_996272-MLA48623669900_122021-O.jpg
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Oro",Apple,25999,23599,https://http2.mlstatic.com/D_NQ_NP_840786-MLA46516504421_062021-O.jpg
"Laptop Dell Inspiron 3505 silver 15.6"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 60 Hz 1366x768px Windows 11 Home",Dell,12329,12329,https://http2.mlstatic.com/D_NQ_NP_899144-MLA47215243707_082021-O.jpg
"Laptop Lenovo IdeaPad D330-10IGL  mineral gray táctil 10.1"", Intel Celeron N4020  4GB de RAM 64GB SSD, Intel UHD Graphics 600 1280x800px Windows 10 Home",Lenovo,4799,4799,https://http2.mlstatic.com/D_NQ_NP_804654-MLA49250655024_032022-O.jpg
Laptop Porsche Design Acer Book Rs Core I5/8gb/512gb/touch,Acer,45999,24499,https://http2.mlstatic.com/D_NQ_NP_903705-MLM48139130029_112021-O.jpg
Laptop Thin & Light Swift 3 Core I5/8gb/512gb/14  Fhd,Acer,22999,14499,https://http2.mlstatic.com/D_NQ_NP_969927-MLM48139146744_112021-O.jpg
"Laptop Lenovo IdeaPad 14IIL05  platinum gray 14"", Intel Core i5 1035G1  8GB de RAM 512GB SSD, Intel UHD Graphics G1 1920x1080px Windows 10 Home",Lenovo,11149,11149,https://http2.mlstatic.com/D_NQ_NP_603529-MLA46388971837_062021-O.jpg
